 

stn;time;tre200nn;qtre200nn;mtre200nn
INNSWZ;20181008;10.8;0;0
INNSWZ;20181009;12.8;0;0
INNSWZ;20181010;10.8;0;0
INNSWZ;20181011;18.8;0;0
INNSWZ;20181012;11.1;0;0
INNSWZ;20181013;9.6;0;0
INNSWZ;20181014;10.8;0;0
INNSWZ;20181015;14.3;0;0
INNSWZ;20181016;10.2;0;0
INNSWZ;20181017;8.1;0;0
INNSWZ;20181018;8.0;0;0
INNSWZ;20181019;8.1;0;0
INNSWZ;20181020;11.0;0;0
INNSWZ;20181021;7.0;0;0
INNSWZ;20181022;4.7;0;0
INNSWZ;20181023;4.5;0;0
INNSWZ;20181024;10.7;0;0
INNSWZ;20181025;8.2;0;0
INNSWZ;20181026;8.4;0;0
INNSWZ;20181027;8.0;0;0
INNSWZ;20181028;-;-;-
INNSWZ;20181029;4.4;0;0
INNSWZ;20181030;4.3;0;0
INNSWZ;20181031;2.3;0;0
INNSWZ;20181101;6.0;0;0
INNSWZ;20181102;6.8;0;0
INNSWZ;20181103;6.9;0;0
INNSWZ;20181104;8.7;0;0
INNSWZ;20181105;7.6;0;0
INNSWZ;20181106;17.2;0;0
INNSWZ;20181107;-;-;-
INNSWZ;20181108;10.2;0;0
INNSWZ;20181109;7.2;0;0
INNSWZ;20181110;6.5;0;0
INNSWZ;20181111;8.0;0;0
INNSWZ;20181112;6.6;0;0
INNSWZ;20181113;7.7;0;0
INNSWZ;20181114;8.4;0;0
INNSWZ;20181115;6.5;0;0
INNSWZ;20181116;4.6;0;0
INNSWZ;20181117;4.5;0;0
INNSWZ;20181118;1.8;0;0
INNSWZ;20181119;2.0;0;0
INNSWZ;20181120;-1.0;0;0
INNSWZ;20181121;-1.2;0;0
INNSWZ;20181122;2.7;0;0
INNSWZ;20181123;1.2;0;0
INNSWZ;20181124;3.0;0;0
INNSWZ;20181125;0.4;0;0
INNSWZ;20181126;2.8;0;0
INNSWZ;20181127;2.3;0;0
INNSWZ;20181128;0.2;0;0
INNSWZ;20181129;1.7;0;0
INNSWZ;20181130;3.1;0;0
INNSWZ;20181201;3.7;0;0
INNSWZ;20181202;3.6;0;0
INNSWZ;20181203;8.0;0;0
INNSWZ;20181204;7.9;0;0
INNSWZ;20181205;5.9;0;0
INNSWZ;20181206;6.7;0;0
INNSWZ;20181207;5.6;0;0
INNSWZ;20181208;4.7;0;0
INNSWZ;20181209;5.1;0;0
INNSWZ;20181210;3.8;0;0
INNSWZ;20181211;1.9;0;0
INNSWZ;20181212;-2.6;0;0
INNSWZ;20181213;-5.8;0;0
INNSWZ;20181214;-1.0;0;0
INNSWZ;20181215;-1.1;0;0
INNSWZ;20181216;-3.8;0;0
INNSWZ;20181217;1.6;0;0
INNSWZ;20181218;-1.0;0;0
INNSWZ;20181219;-0.5;0;0
INNSWZ;20181220;2.4;0;0
INNSWZ;20181221;1.3;0;0
INNSWZ;20181222;6.2;0;0
INNSWZ;20181223;6.9;0;0
INNSWZ;20181224;7.5;0;0
INNSWZ;20181225;-1.1;0;0
INNSWZ;20181226;-2.8;0;0
INNSWZ;20181227;-1.0;0;0
INNSWZ;20181228;-0.1;0;0
INNSWZ;20181229;0.9;0;0
INNSWZ;20181230;1.2;0;0
INNSWZ;20181231;3.0;0;0
INNSWZ;20190101;4.7;0;0
INNSWZ;20190102;3.1;0;0
INNSWZ;20190103;-4.9;0;0
INNSWZ;20190104;-4.4;0;0
INNSWZ;20190105;-1.4;0;0
INNSWZ;20190106;0.3;0;0
INNSWZ;20190107;1.3;0;0
INNSWZ;20190108;0.3;0;0
INNSWZ;20190109;1.6;0;0
INNSWZ;20190110;-1.2;0;0
INNSWZ;20190111;-1.8;0;0
INNSWZ;20190112;-1.6;0;0
INNSWZ;20190113;0.3;0;0
