 

stn;time;ths200dv;qths200dv;mths200dv;th9120dv;qth9120dv;mth9120dv;ths200d0;qths200d0;mths200d0;tre200dx;qtre200dx;mtre200dx;tre200dn;qtre200dn;mtre200dn;tre200d0;qtre200d0;mtre200d0;tre200dv;qtre200dv;mtre200dv;t24200ds;qt24200ds;mt24200ds;t12200ds;qt12200ds;mt12200ds;t06200ds;qt06200ds;mt06200ds;tre200nx;qtre200nx;mtre200nx;tre200n0;qtre200n0;mtre200n0;tre200jx;qtre200jx;mtre200jx;tre200jn;qtre200jn;mtre200jn;tre200j0;qtre200j0;mtre200j0;t18200ds;qt18200ds;mt18200ds;tre200nn;qtre200nn;mtre200nn;tre005nn;qtre005nn;mtre005nn;tre005dx;qtre005dx;mtre005dx;tre005dn;qtre005dn;mtre005dn;tre005d0;qtre005d0;mtre005d0;hns010d0;qhns010d0;mhns010d0;hns002d0;qhns002d0;mhns002d0;hns003d0;qhns003d0;mhns003d0;hns004d0;qhns004d0;mhns004d0;hns005d0;qhns005d0;mhns005d0;hns000d0;qhns000d0;mhns000d0;hto000d0;qhto000d0;mhto000d0;hns000j0;qhns000j0;mhns000j0;hto000j0;qhto000j0;mhto000j0;htoautj0;qhtoautj0;mhtoautj0;htoautd0;qhtoautd0;mhtoautd0
ENG;19800112;-8.2;0;0;-9.3;0;0;-11.0;0;0;-7.6;0;-;-13.5;0;-;-10.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-12.4;0;-;-;-;-;-7.6;0;-;-13.5;0;-;-;-;-;-;-;-;-9.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;61;0;0;5;0;0;12;0;0;19;0;0;19;0;0;2;0;-;56;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800113;-7.8;0;0;-8.9;0;0;-10.6;0;0;-5.5;0;-;-13.8;0;-;-10.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-8.0;0;-;-;-;-;-5.5;0;-;-13.0;0;-;-;-;-;-;-;-;-13.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;54;0;0;2;0;0;5;0;0;12;0;0;19;0;0;0;0;-;53;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800114;-4.1;0;0;-5.2;0;0;-6.9;0;0;0.4;0;-;-12.0;0;-;-6.7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-2.6;0;-;-;-;-;0.4;0;-;-10.3;0;-;-;-;-;-;-;-;-12.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;45;0;0;0;0;0;2;0;0;5;0;0;12;0;0;0;0;-;50;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800115;-1.9;0;0;-3.0;0;0;-4.7;0;0;1.0;0;-;-7.5;0;-;-4.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-6.5;0;-;-;-;-;1.0;0;-;-6.5;0;-;-;-;-;-;-;-;-7.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;39;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;-;47;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800116;-6.3;0;0;-7.4;0;0;-9.1;0;0;-7.7;0;-;-10.0;0;-;-8.9;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-9.6;0;-;-;-;-;-7.7;0;-;-10.0;0;-;-;-;-;-;-;-;-8.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;-;44;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800117;-8.9;0;0;-10.0;0;0;-11.7;0;0;-4.2;0;-;-13.6;0;-;-11.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-4.2;0;-;-;-;-;-7.7;0;-;-13.6;0;-;-;-;-;-;-;-;-13.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;43;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800118;0.7;0;0;-0.3;0;0;-2.0;0;0;5.7;0;-;-12.0;0;-;-1.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-3.0;0;-;-;-;-;5.7;0;-;-6.6;0;-;-;-;-;-;-;-;-12.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;42;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800119;-1.5;0;0;-2.5;0;0;-4.2;0;0;2.0;0;-;-7.4;0;-;-4.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-5.0;0;-;-;-;-;2.0;0;-;-6.0;0;-;-;-;-;-;-;-;-7.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;41;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800120;-1.7;0;0;-2.6;0;0;-4.4;0;0;1.6;0;-;-7.8;0;-;-4.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-4.0;0;-;-;-;-;1.6;0;-;-7.8;0;-;-;-;-;-;-;-;-7.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;41;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800121;-1.0;0;0;-1.9;0;0;-3.7;0;0;2.6;0;-;-8.6;0;-;-3.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2.6;0;-;-;-;-;-0.2;0;-;-8.6;0;-;-;-;-;-;-;-;-7.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;41;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800122;2.4;0;0;1.5;0;0;-0.3;0;0;0.8;0;-;-1.6;0;-;-0.1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;0.5;0;-;-;-;-;0.8;0;-;-1.0;0;-;-;-;-;-;-;-;-1.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;6;0;0;6;0;0;6;0;0;6;0;0;6;0;-;40;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800123;2.6;0;0;1.7;0;0;-0.1;0;0;4.8;0;-;-2.2;0;-;0.1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;4.8;0;-;-;-;-;2.6;0;-;-2.2;0;-;-;-;-;-;-;-;-0.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;6;0;0;6;0;0;6;0;0;6;0;0;0;0;-;46;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800124;7.4;0;0;6.6;0;0;4.8;0;0;10.2;0;-;-1.0;0;-;5.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2.2;0;-;-;-;-;10.2;0;-;2.2;0;-;-;-;-;-;-;-;-1.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;28;0;0;22;0;0;28;0;0;28;0;0;28;0;0;22;0;-;42;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800125;1.7;0;0;0.9;0;0;-0.9;0;0;-0.3;0;-;-1.3;0;-;-0.7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-1.3;0;-;-;-;-;-0.3;0;-;-1.3;0;-;-;-;-;-;-;-;-0.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;25;0;0;25;0;0;31;0;0;31;0;0;3;0;-;55;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800126;-1.2;0;0;-2.0;0;0;-3.8;0;0;-1.0;0;-;-7.4;0;-;-3.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-2.7;0;-;-;-;-;-1.0;0;-;-5.4;0;-;-;-;-;-;-;-;-7.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;3;0;0;25;0;0;25;0;0;31;0;0;0;0;-;51;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800127;-3.7;0;0;-4.5;0;0;-6.3;0;0;0.2;0;-;-10.6;0;-;-6.1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-7.6;0;-;-;-;-;0.2;0;-;-9.0;0;-;-;-;-;-;-;-;-10.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;0;0;0;3;0;0;25;0;0;25;0;0;0;0;-;48;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800128;-4.9;0;0;-5.6;0;0;-7.4;0;0;-0.7;0;-;-12.8;0;-;-7.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-4.2;0;-;-;-;-;-0.7;0;-;-12.8;0;-;-;-;-;-;-;-;-12.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;0;0;0;0;0;0;3;0;0;25;0;0;0;0;-;47;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800129;0.0;0;0;-0.7;0;0;-2.5;0;0;6.4;0;-;-7.6;0;-;-2.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-3.5;0;-;-;-;-;6.4;0;-;-5.2;0;-;-;-;-;-;-;-;-7.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;-;46;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800130;2.6;0;0;1.9;0;0;0.1;0;0;3.8;0;-;-6.5;0;-;0.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2.3;0;-;-;-;-;3.8;0;-;-4.7;0;-;-;-;-;-;-;-;-6.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;42;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800131;5.5;0;0;4.9;0;0;3.1;0;0;6.3;0;-;-0.2;0;-;3.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;5.4;0;-;-;-;-;6.3;0;-;0.6;0;-;-;-;-;-;-;-;-0.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;41;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800201;3.3;0;0;2.7;0;0;0.9;0;0;4.5;0;-;-0.4;0;-;1.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-0.4;0;-;-;-;-;4.5;0;-;-0.4;0;-;-;-;-;-;-;-;0.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;26;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;-;38;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800202;1.8;0;0;1.3;0;0;-0.5;0;0;3.7;0;-;-5.6;0;-;-0.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2.6;0;-;-;-;-;3.7;0;-;-4.8;0;-;-;-;-;-;-;-;-5.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;31;0;0;6;0;0;6;0;0;6;0;0;6;0;0;5;0;-;38;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800203;3.7;0;0;3.2;0;0;1.4;0;0;5.6;0;-;0.0;0;-;1.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;5.6;0;-;-;-;-;4.2;0;-;0.4;0;-;-;-;-;-;-;-;0.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;9;0;0;5;0;0;6;0;0;6;0;0;6;0;0;0;0;-;42;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800204;5.3;0;0;4.9;0;0;3.1;0;0;10.6;0;-;1.2;0;-;3.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;10.6;0;-;-;-;-;4.8;0;-;1.5;0;-;-;-;-;-;-;-;1.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;0;0;0;5;0;0;6;0;0;6;0;0;0;0;-;38;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800205;6.8;0;0;6.4;0;0;4.6;0;0;9.4;0;-;1.6;0;-;4.7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6.5;0;-;-;-;-;9.4;0;-;3.5;0;-;-;-;-;-;-;-;1.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;-;30;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800206;4.3;0;0;3.8;0;0;2.1;0;0;5.0;0;-;0.0;0;-;2.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;1.6;0;-;-;-;-;5.0;0;-;0.0;0;-;-;-;-;-;-;-;1.7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;-;24;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800207;3.6;0;0;3.2;0;0;1.5;0;0;4.8;0;-;0.8;0;-;1.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2.1;0;-;-;-;-;4.8;0;-;0.8;0;-;-;-;-;-;-;-;0.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;23;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800208;4.5;0;0;4.1;0;0;2.4;0;0;8.6;0;-;-0.6;0;-;2.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2.6;0;-;-;-;-;8.6;0;-;0.0;0;-;-;-;-;-;-;-;-0.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;22;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800209;6.5;0;0;6.1;0;0;4.5;0;0;11.2;0;-;0.6;0;-;4.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;2.8;0;-;-;-;-;11.2;0;-;0.8;0;-;-;-;-;-;-;-;0.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;21;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800210;5.0;0;0;4.6;0;0;3.0;0;0;7.2;0;-;-0.5;0;-;3.1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;3.2;0;-;-;-;-;7.2;0;-;-0.5;0;-;-;-;-;-;-;-;-0.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;10;0;0;4;0;0;4;0;0;4;0;0;4;0;0;4;0;-;20;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800211;2.5;0;0;2.1;0;0;0.6;0;0;4.5;0;-;-0.3;0;-;0.7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;0.0;0;-;-;-;-;4.5;0;-;-0.3;0;-;-;-;-;-;-;-;0.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;9;0;0;4;0;0;4;0;0;4;0;0;4;0;0;0;0;-;23;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800212;1.7;0;0;1.4;0;0;-0.1;0;0;5.5;0;-;-2.8;0;-;0.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-2.6;0;-;-;-;-;5.5;0;-;-2.8;0;-;-;-;-;-;-;-;-2.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;4;0;0;0;0;0;4;0;0;4;0;0;4;0;0;0;0;-;20;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800213;0.3;0;0;-0.1;0;0;-1.5;0;0;5.5;0;-;-6.0;0;-;-1.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-0.4;0;-;-;-;-;5.5;0;-;-5.8;0;-;-;-;-;-;-;-;-6.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;4;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;-;19;0;-;-;-;-;-;-;-;-;-;-;-;-;-
